Categoria,Nome,Detalhe,Preço,Unidade,Preço antigo,Em oferta,Imagem,Disponível
Hortifruti,Tomate Extra,,"5,99",kg,,SIM,assets/img/produtos/tomate-extra.jpg,SIM
Hortifruti,Batata Inglesa,,"5,89",kg,,SIM,assets/img/produtos/batata-inglesa.jpg,SIM
Hortifruti,Cenoura,,"5,99",kg,,SIM,assets/img/produtos/cenoura.jpg,SIM
Hortifruti,Alface Crespa,unidade,"3,99",un,,SIM,assets/img/produtos/alface-crespa.jpg,SIM
Hortifruti,Banana Prata,,"4,99",kg,,,assets/img/produtos/banana-prata.jpg,SIM
Hortifruti,Banana Nanica,,"3,99",kg,,,assets/img/produtos/banana-nanica.jpg,SIM
Hortifruti,Banana Maçã,,"7,19",kg,,,assets/img/produtos/banana-maca.jpg,SIM
Hortifruti,Maçã Gala,,"7,19",kg,,,assets/img/produtos/maca-gala.jpg,SIM
Hortifruti,Laranja,,"2,95",kg,,,assets/img/produtos/laranja.jpg,SIM
Hortifruti,Abacaxi Pérola,extra G,"8,99",kg,,,assets/img/produtos/abacaxi-perola.jpg,SIM
Hortifruti,Chuchu,,"4,89",kg,,,assets/img/produtos/chuchu.jpg,SIM
Hortifruti,Pimentão Verde,,"6,99",kg,,,assets/img/produtos/pimentao-verde.jpg,SIM
Hortifruti,Couve Manteiga,maço,"3,99",un,,,assets/img/produtos/couve-manteiga.jpg,SIM
Hortifruti,Cheiro Verde,maço,"3,99",un,,,assets/img/produtos/cheiro-verde.jpg,SIM
Hortifruti,Cebola Extra,,"6,69",kg,,,assets/img/produtos/cebola-extra.jpg,SIM
Hortifruti,Abóbora Cabotiá,,"3,69",kg,,,assets/img/produtos/abobora-cabotia.jpg,SIM
Hortifruti,Abobrinha Verde,,"5,99",kg,,,assets/img/produtos/abobrinha-verde.jpg,SIM
Hortifruti,Repolho Verde,,"4,99",kg,,,assets/img/produtos/repolho-verde.jpg,SIM
Hortifruti,Pimenta de Cheiro,bandeja,"2,99",un,,,assets/img/produtos/pimenta-de-cheiro.jpg,SIM
Hortifruti,Gengibre,bandeja,"5,99",un,,,assets/img/produtos/gengibre.jpg,SIM
Hortifruti,Mandioca com Casca,,"4,49",kg,,,assets/img/produtos/mandioca.jpg,SIM
Açougue,Costela Bovina,,"19,95",kg,,SIM,assets/img/produtos/costela-bovina.jpg,SIM
